dataset,subject,budget,variant,accuracy,balanced_accuracy,kappa,macro_f1
bnci2014_004,2,n25,sew_clif_ce,0.513095238095238,0.5130952380952382,0.02619047619047617,0.501684457057573
bnci2014_004,2,n25,sew_clif_equal,0.5154761904761904,0.5154761904761904,0.030952380952380953,0.5057048310330367
bnci2014_004,2,n25,soft_clif_exact,0.5166666666666666,0.5166666666666666,0.03333333333333329,0.4504035677747997
bnci2014_004,2,n25,tcn_stat,0.5059523809523809,0.5059523809523809,0.011904761904761899,0.49556195961996785
bnci2014_004,2,n50,ann_sew_ce,0.4869047619047619,0.4869047619047619,-0.026190476190476247,0.4854544380281805
bnci2014_004,2,n50,ann_sew_equal,0.5023809523809524,0.5023809523809524,0.004761904761904708,0.5002698571064483
bnci2014_004,2,n50,sew_clif_ce,0.5226190476190476,0.5226190476190476,0.0452380952380953,0.5205413659957213
bnci2014_004,2,n50,sew_clif_equal,0.530952380952381,0.530952380952381,0.06190476190476191,0.530432555404173
bnci2014_004,3,all,ann_sew_ce,0.5322916666666667,0.5322916666666667,0.06458333333333337,0.5311667059643231
bnci2014_004,3,all,ann_sew_equal,0.5187499999999999,0.5187499999999999,0.03750000000000001,0.5183029189169043
bnci2014_004,3,all,gru_stat,0.5020833333333333,0.5020833333333333,0.004166666666666652,0.5020278863681558
bnci2014_004,3,all,sew_clif_ce,0.484375,0.484375,-0.03125,0.4826971357845992
bnci2014_004,3,all,sew_clif_equal,0.5114583333333333,0.5114583333333332,0.022916666666666696,0.5107155095424347
bnci2014_004,3,all,soft_clif_exact,0.5208333333333334,0.5208333333333334,0.041666666666666664,0.517602438754352
bnci2014_004,3,all,tcn_stat,0.4791666666666667,0.4791666666666667,-0.041666666666666664,0.47770347609255914
bnci2014_004,3,n100,ann_sew_ce,0.509375,0.509375,0.01874999999999997,0.509341273790854
bnci2014_004,3,n100,ann_sew_equal,0.496875,0.496875,-0.006249999999999978,0.49587737911914237
bnci2014_004,3,n100,sew_clif_ce,0.4895833333333333,0.4895833333333333,-0.020833333333333297,0.4889612646002533
bnci2014_004,3,n100,sew_clif_equal,0.4822916666666666,0.4822916666666666,-0.03541666666666665,0.48087256081130647
bnci2014_004,3,n25,ann_sew_ce,0.49062500000000003,0.49062500000000003,-0.01874999999999997,0.4897726358612899
bnci2014_004,3,n25,ann_sew_equal,0.5052083333333334,0.5052083333333334,0.010416666666666666,0.49700432358915075
bnci2014_004,3,n25,gru_stat,0.48541666666666666,0.48541666666666666,-0.029166666666666636,0.4832093738788706
bnci2014_004,3,n25,sew_clif_ce,0.4979166666666666,0.4979166666666666,-0.004166666666666652,0.4963064006074868
bnci2014_004,3,n25,sew_clif_equal,0.5010416666666667,0.5010416666666666,0.002083333333333363,0.50083315293164
bnci2014_004,3,n25,soft_clif_exact,0.4979166666666666,0.4979166666666666,-0.004166666666666652,0.48959003870999923
bnci2014_004,3,n25,tcn_stat,0.49374999999999997,0.49374999999999997,-0.012499999999999992,0.49065743750803686
bnci2014_004,3,n50,ann_sew_ce,0.521875,0.521875,0.043749999999999956,0.5210887582692078
bnci2014_004,3,n50,ann_sew_equal,0.5145833333333333,0.5145833333333333,0.029166666666666712,0.5136645425977946
bnci2014_004,3,n50,sew_clif_ce,0.4895833333333333,0.48958333333333326,-0.020833333333333332,0.48658564362719225
bnci2014_004,3,n50,sew_clif_equal,0.484375,0.484375,-0.03125,0.48215432967315763
bnci2014_004,4,all,ann_sew_ce,0.8541666666666666,0.8541666666666666,0.7083333333333334,0.8537640241889614
bnci2014_004,4,all,ann_sew_equal,0.8697916666666666,0.8697916666666666,0.7395833333333334,0.8694136509959925
bnci2014_004,4,all,gru_stat,0.8916666666666666,0.8916666666666666,0.7833333333333333,0.8915665080814241
bnci2014_004,4,all,sew_clif_ce,0.8739583333333334,0.8739583333333334,0.7479166666666667,0.8738334294737561
bnci2014_004,4,all,sew_clif_equal,0.8770833333333333,0.8770833333333332,0.7541666666666668,0.8770323553960334
