dataset,subject,seed,budget,variant,experiment,accuracy,balanced_accuracy,kappa,macro_f1
bci2a,4,0,all,sew_clif_ce,RECOVERED_PARENT,0.6076388888888888,0.6076388888888888,0.4768518518518518,0.6000044354552552
bci2a,4,0,n50,ann_sew_ce,RECOVERED_PARENT,0.5104166666666666,0.5104166666666666,0.34722222222222215,0.4971678974321122
bci2a,4,0,n50,sew_clif_ce,RECOVERED_PARENT,0.5902777777777778,0.5902777777777778,0.4537037037037037,0.5803500650030123
bci2a,4,1,n25,soft_clif_exact,REV-E1,0.6215277777777778,0.6215277777777778,0.4953703703703704,0.6146549060646977
bci2a,4,1,all,soft_clif_exact,REV-E1,0.6493055555555556,0.6493055555555556,0.5324074074074074,0.6422178702928415
bci2a,4,1,n25,gru_stat,REV-E2,0.5972222222222222,0.5972222222222222,0.46296296296296297,0.5859315755702036
bci2a,4,1,all,gru_stat,REV-E2,0.6284722222222222,0.6284722222222222,0.5046296296296297,0.6197488214634512
bci2a,4,1,n25,tcn_stat,REV-E2,0.6215277777777778,0.6215277777777778,0.4953703703703704,0.6096867858079502
bci2a,4,1,all,tcn_stat,REV-E2,0.6076388888888888,0.607638888888889,0.4768518518518518,0.594728200200464
bci2a,4,1,n25,ann_sew_equal,REV-E3,0.5069444444444444,0.5069444444444444,0.34259259259259256,0.4991997839558815
bci2a,4,1,n50,ann_sew_equal,REV-E3,0.5277777777777778,0.5277777777777778,0.3703703703703704,0.525125229800221
bci2a,4,1,all,ann_sew_equal,REV-E3,0.6041666666666666,0.6041666666666666,0.47222222222222215,0.6008822771914214
bci2a,4,1,n25,sew_clif_equal,REV-E3,0.5972222222222222,0.5972222222222222,0.46296296296296297,0.5925873570885092
bci2a,4,1,n50,sew_clif_equal,REV-E3,0.6180555555555556,0.6180555555555555,0.49074074074074076,0.6103937712619785
bci2a,4,1,all,sew_clif_equal,REV-E3,0.6284722222222222,0.6284722222222221,0.5046296296296297,0.6242663003973639
bci2a,4,1,n25,ann_sew_ce,RECOVERED_PARENT,0.4826388888888889,0.4826388888888889,0.3101851851851852,0.47372925557136086
bci2a,4,1,n25,sew_clif_ce,RECOVERED_PARENT,0.6388888888888888,0.638888888888889,0.5185185185185185,0.6335374164082186
bci2a,4,1,all,ann_sew_ce,RECOVERED_PARENT,0.5868055555555556,0.5868055555555556,0.4490740740740741,0.581745941201752
bci2a,4,1,all,sew_clif_ce,RECOVERED_PARENT,0.6319444444444444,0.6319444444444444,0.5092592592592592,0.6272200103998188
bci2a,4,1,n50,ann_sew_ce,RECOVERED_PARENT,0.5486111111111112,0.5486111111111112,0.3981481481481482,0.5469570410514257
bci2a,4,1,n50,sew_clif_ce,RECOVERED_PARENT,0.6284722222222222,0.6284722222222222,0.5046296296296297,0.6215053675988371
bci2a,4,2,n25,soft_clif_exact,REV-E1,0.5659722222222222,0.5659722222222222,0.4212962962962963,0.5591614906832298
bci2a,4,2,all,soft_clif_exact,REV-E1,0.6180555555555556,0.6180555555555556,0.49074074074074076,0.6048291119981449
bci2a,4,2,n25,gru_stat,REV-E2,0.5625,0.5625,0.4166666666666667,0.535434964072735
bci2a,4,2,all,gru_stat,REV-E2,0.6111111111111112,0.611111111111111,0.48148148148148157,0.6002483458276141
bci2a,4,2,n25,tcn_stat,REV-E2,0.6284722222222222,0.6284722222222221,0.5046296296296297,0.6209245435073875
bci2a,4,2,all,tcn_stat,REV-E2,0.6631944444444444,0.6631944444444444,0.5509259259259259,0.6577720468643428
