dataset,subject,seed,budget,variant,eligible_event_accumulations,scope,actual_gpu_sparse_execution_measured,energy_claim_supported
openbmi,11,2,all,sew_clif_equal,84112,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,12,0,n25,sew_clif_equal,87223,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,12,0,all,sew_clif_equal,90134,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,12,1,n25,sew_clif_equal,88458,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,12,1,all,sew_clif_equal,97466,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,12,2,n25,sew_clif_equal,105607,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,12,2,all,sew_clif_equal,107596,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,13,0,n25,sew_clif_equal,97504,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,13,0,all,sew_clif_equal,99294,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,13,1,n25,sew_clif_equal,95441,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,13,1,all,sew_clif_equal,96476,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,13,2,n25,sew_clif_equal,88999,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,13,2,all,sew_clif_equal,87702,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,14,0,n25,sew_clif_equal,79561,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,14,0,all,sew_clif_equal,83539,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,14,1,n25,sew_clif_equal,87799,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,14,1,all,sew_clif_equal,83147,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,14,2,n25,sew_clif_equal,89056,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,14,2,all,sew_clif_equal,93087,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,15,0,n25,sew_clif_equal,85341,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,15,0,all,sew_clif_equal,93849,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,15,1,n25,sew_clif_equal,91911,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,15,1,all,sew_clif_equal,80979,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,15,2,n25,sew_clif_equal,81660,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,15,2,all,sew_clif_equal,82338,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,16,0,n25,sew_clif_equal,80712,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,16,0,all,sew_clif_equal,77698,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,16,1,n25,sew_clif_equal,70513,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,16,1,all,sew_clif_equal,81089,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,16,2,n25,sew_clif_equal,82647,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,16,2,all,sew_clif_equal,77977,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,17,0,n25,sew_clif_equal,94003,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,17,0,all,sew_clif_equal,97804,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,17,1,n25,sew_clif_equal,87347,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,17,1,all,sew_clif_equal,86186,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,17,2,n25,sew_clif_equal,79972,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,17,2,all,sew_clif_equal,90880,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,18,0,n25,sew_clif_equal,87885,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,18,0,all,sew_clif_equal,79459,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,18,1,n25,sew_clif_equal,100044,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,18,1,all,sew_clif_equal,94623,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,18,2,n25,sew_clif_equal,87114,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,18,2,all,sew_clif_equal,85560,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,19,0,n25,sew_clif_equal,103284,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,19,0,all,sew_clif_equal,94951,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,19,1,n25,sew_clif_equal,86815,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,19,1,all,sew_clif_equal,83841,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,19,2,n25,sew_clif_equal,92576,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,19,2,all,sew_clif_equal,87958,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,20,0,n25,sew_clif_equal,93143,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,20,0,all,sew_clif_equal,82591,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,20,1,n25,sew_clif_equal,75878,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,20,1,all,sew_clif_equal,91002,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,20,2,n25,sew_clif_equal,88270,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,20,2,all,sew_clif_equal,83921,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,21,0,n25,sew_clif_equal,105771,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,21,0,all,sew_clif_equal,107656,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,21,1,n25,sew_clif_equal,110028,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,21,1,all,sew_clif_equal,119776,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,21,2,n25,sew_clif_equal,112908,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,21,2,all,sew_clif_equal,107491,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,22,0,n25,sew_clif_equal,79996,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,22,0,all,sew_clif_equal,76717,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,22,1,n25,sew_clif_equal,85230,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,22,1,all,sew_clif_equal,83278,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,22,2,n25,sew_clif_equal,71476,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,22,2,all,sew_clif_equal,72264,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,23,0,n25,sew_clif_equal,88059,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,23,0,all,sew_clif_equal,92551,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,23,1,n25,sew_clif_equal,94585,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,23,1,all,sew_clif_equal,96077,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,23,2,n25,sew_clif_equal,86527,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,23,2,all,sew_clif_equal,93732,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,24,0,n25,sew_clif_equal,79480,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,24,0,all,sew_clif_equal,78910,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,24,1,n25,sew_clif_equal,82450,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,24,1,all,sew_clif_equal,90472,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,24,2,n25,sew_clif_equal,84703,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,24,2,all,sew_clif_equal,81819,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,25,0,n25,sew_clif_equal,75511,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,25,0,all,sew_clif_equal,86704,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,25,1,n25,sew_clif_equal,75241,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,25,1,all,sew_clif_equal,89104,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,25,2,n25,sew_clif_equal,104767,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,25,2,all,sew_clif_equal,96905,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,26,0,n25,sew_clif_equal,80137,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,26,0,all,sew_clif_equal,83653,optimistic_directly_event_triggerable_additions_only,False,False
