dataset,subject,seed,budget,variant,layer,firing_rate,event_sparsity,events,denominator_elements,denominator_definition,total_events_all_layers
bci2a,4,1,n50,sew_clif_equal,3,0.14916690779320987,0.8508330922067902,49490,331776,batch_x_channel_x_time,138308
bci2a,4,1,all,sew_clif_equal,0,0.19186137635030864,0.8081386236496914,63655,331776,batch_x_channel_x_time,142792
bci2a,4,1,all,sew_clif_equal,1,0.03351357542438271,0.9664864245756173,11119,331776,batch_x_channel_x_time,142792
bci2a,4,1,all,sew_clif_equal,2,0.051362967785493825,0.9486370322145061,17041,331776,batch_x_channel_x_time,142792
bci2a,4,1,all,sew_clif_equal,3,0.15364884741512347,0.8463511525848766,50977,331776,batch_x_channel_x_time,142792
bci2a,4,2,n25,sew_clif_equal,0,0.17830102237654322,0.8216989776234568,59156,331776,batch_x_channel_x_time,138379
bci2a,4,2,n25,sew_clif_equal,1,0.03616596739969136,0.9638340326003086,11999,331776,batch_x_channel_x_time,138379
bci2a,4,2,n25,sew_clif_equal,2,0.05308702256944445,0.9469129774305556,17613,331776,batch_x_channel_x_time,138379
bci2a,4,2,n25,sew_clif_equal,3,0.14953161168981483,0.8504683883101851,49611,331776,batch_x_channel_x_time,138379
bci2a,4,2,n50,sew_clif_equal,0,0.19287410783179013,0.8071258921682098,63991,331776,batch_x_channel_x_time,160494
bci2a,4,2,n50,sew_clif_equal,1,0.04833984375,0.95166015625,16038,331776,batch_x_channel_x_time,160494
bci2a,4,2,n50,sew_clif_equal,2,0.07056266878858025,0.9294373312114197,23411,331776,batch_x_channel_x_time,160494
bci2a,4,2,n50,sew_clif_equal,3,0.1719654224537037,0.8280345775462963,57054,331776,batch_x_channel_x_time,160494
bci2a,4,2,all,sew_clif_equal,0,0.1914454330632716,0.8085545669367284,63517,331776,batch_x_channel_x_time,149546
bci2a,4,2,all,sew_clif_equal,1,0.043520326967592594,0.9564796730324074,14439,331776,batch_x_channel_x_time,149546
bci2a,4,2,all,sew_clif_equal,2,0.05515468267746913,0.9448453173225309,18299,331776,batch_x_channel_x_time,149546
bci2a,4,2,all,sew_clif_equal,3,0.16062343267746915,0.8393765673225309,53291,331776,batch_x_channel_x_time,149546
bci2a,5,0,n25,sew_clif_equal,0,0.19253351658950618,0.8074664834104939,63878,331776,batch_x_channel_x_time,151525
bci2a,5,0,n25,sew_clif_equal,1,0.04051830150462963,0.9594816984953703,13443,331776,batch_x_channel_x_time,151525
bci2a,5,0,n25,sew_clif_equal,2,0.06135766300154321,0.9386423369984568,20357,331776,batch_x_channel_x_time,151525
bci2a,5,0,n25,sew_clif_equal,3,0.1622992621527778,0.8377007378472222,53847,331776,batch_x_channel_x_time,151525
bci2a,5,0,n50,sew_clif_equal,0,0.18443769290123457,0.8155623070987654,61192,331776,batch_x_channel_x_time,136502
bci2a,5,0,n50,sew_clif_equal,1,0.03216929494598766,0.9678307050540124,10673,331776,batch_x_channel_x_time,136502
bci2a,5,0,n50,sew_clif_equal,2,0.047749083719135804,0.9522509162808642,15842,331776,batch_x_channel_x_time,136502
bci2a,5,0,n50,sew_clif_equal,3,0.14707212094907407,0.8529278790509259,48795,331776,batch_x_channel_x_time,136502
bci2a,5,0,all,sew_clif_equal,0,0.19899872202932098,0.801001277970679,66023,331776,batch_x_channel_x_time,159140
bci2a,5,0,all,sew_clif_equal,1,0.04090711805555555,0.9590928819444444,13572,331776,batch_x_channel_x_time,159140
bci2a,5,0,all,sew_clif_equal,2,0.06995683834876543,0.9300431616512346,23210,331776,batch_x_channel_x_time,159140
bci2a,5,0,all,sew_clif_equal,3,0.16979829764660495,0.8302017023533951,56335,331776,batch_x_channel_x_time,159140
bci2a,5,1,n25,sew_clif_equal,0,0.19697325906635801,0.803026740933642,65351,331776,batch_x_channel_x_time,151909
bci2a,5,1,n25,sew_clif_equal,1,0.039306640625,0.960693359375,13041,331776,batch_x_channel_x_time,151909
bci2a,5,1,n25,sew_clif_equal,2,0.058238088348765434,0.9417619116512346,19322,331776,batch_x_channel_x_time,151909
bci2a,5,1,n25,sew_clif_equal,3,0.16334816261574073,0.8366518373842593,54195,331776,batch_x_channel_x_time,151909
bci2a,5,1,n50,sew_clif_equal,0,0.20072579089506173,0.7992742091049383,66596,331776,batch_x_channel_x_time,153314
