contrast,left,right,dataset,budget,metric,participants,mean_difference,bootstrap_95_lower,bootstrap_95_upper
REV-E2_Hard_minus_GRUStat,sew_clif_ce,gru_stat,openbmi,all,accuracy,54,0.0054320987654320925,-0.0004938271604938458,0.011728395061728387
REV-E2_Hard_minus_GRUStat,sew_clif_ce,gru_stat,openbmi,all,balanced_accuracy,54,0.005432098765432095,-0.000495370370370382,0.011666666666666672
REV-E2_Hard_minus_GRUStat,sew_clif_ce,gru_stat,openbmi,all,kappa,54,0.010864197530864192,-0.001111111111111118,0.023209876543209867
REV-E2_Hard_minus_GRUStat,sew_clif_ce,gru_stat,openbmi,all,macro_f1,54,0.004465465804285914,-0.0024045015462838388,0.011467798420275765
REV-E2_Hard_minus_GRUStat,sew_clif_ce,gru_stat,openbmi,n25,accuracy,54,0.007901234567901231,0.0014814814814814838,0.014444444444444447
REV-E2_Hard_minus_GRUStat,sew_clif_ce,gru_stat,openbmi,n25,balanced_accuracy,54,0.007901234567901252,0.0014197530864197797,0.01425925925925929
REV-E2_Hard_minus_GRUStat,sew_clif_ce,gru_stat,openbmi,n25,kappa,54,0.015802469135802473,0.002716049382716051,0.02839506172839507
REV-E2_Hard_minus_GRUStat,sew_clif_ce,gru_stat,openbmi,n25,macro_f1,54,0.010165848212822456,0.0022122183275123846,0.017872093710463225
REV-E2_Hard_minus_TCNStat,sew_clif_ce,tcn_stat,bci2a,all,accuracy,9,-0.0030864197530863966,-0.00977366255144031,0.0033436213991769634
REV-E2_Hard_minus_TCNStat,sew_clif_ce,tcn_stat,bci2a,all,balanced_accuracy,9,-0.0030864197530863966,-0.009773662551440323,0.0034722222222222593
REV-E2_Hard_minus_TCNStat,sew_clif_ce,tcn_stat,bci2a,all,kappa,9,-0.004115226337448565,-0.013031550068587127,0.004629629629629644
REV-E2_Hard_minus_TCNStat,sew_clif_ce,tcn_stat,bci2a,all,macro_f1,9,-0.0014902410088747252,-0.008584636368590673,0.004889867225523224
REV-E2_Hard_minus_TCNStat,sew_clif_ce,tcn_stat,bci2a,n25,accuracy,9,-0.003858024691358023,-0.016460905349794237,0.007844650205761318
REV-E2_Hard_minus_TCNStat,sew_clif_ce,tcn_stat,bci2a,n25,balanced_accuracy,9,-0.003858024691358042,-0.016332304526748935,0.008230452674897058
REV-E2_Hard_minus_TCNStat,sew_clif_ce,tcn_stat,bci2a,n25,kappa,9,-0.00514403292181071,-0.021947873799725667,0.010631001371742086
REV-E2_Hard_minus_TCNStat,sew_clif_ce,tcn_stat,bci2a,n25,macro_f1,9,-0.007367176605182903,-0.021953295161867198,0.006723343185812694
REV-E2_Hard_minus_TCNStat,sew_clif_ce,tcn_stat,bnci2014_004,all,accuracy,9,-0.00689484126984127,-0.016668320105820113,0.0021168154761904623
REV-E2_Hard_minus_TCNStat,sew_clif_ce,tcn_stat,bnci2014_004,all,balanced_accuracy,9,-0.006894841269841245,-0.016782407407407354,0.002066798941798947
REV-E2_Hard_minus_TCNStat,sew_clif_ce,tcn_stat,bnci2014_004,all,kappa,9,-0.01378968253968252,-0.03379960317460316,0.004034391534391557
REV-E2_Hard_minus_TCNStat,sew_clif_ce,tcn_stat,bnci2014_004,all,macro_f1,9,-0.007296724235222941,-0.017113656792513865,0.0016418583456607723
REV-E2_Hard_minus_TCNStat,sew_clif_ce,tcn_stat,bnci2014_004,n25,accuracy,9,-0.001984126984126965,-0.013888888888888864,0.010879629629629677
REV-E2_Hard_minus_TCNStat,sew_clif_ce,tcn_stat,bnci2014_004,n25,balanced_accuracy,9,-0.001984126984126977,-0.014004629629629636,0.010284391534391547
REV-E2_Hard_minus_TCNStat,sew_clif_ce,tcn_stat,bnci2014_004,n25,kappa,9,-0.00396825396825397,-0.02777777777777776,0.021032572751322743
REV-E2_Hard_minus_TCNStat,sew_clif_ce,tcn_stat,bnci2014_004,n25,macro_f1,9,-0.004150167190844101,-0.017387217154721323,0.00953133149117259
REV-E2_Hard_minus_TCNStat,sew_clif_ce,tcn_stat,openbmi,all,accuracy,54,0.00561728395061728,-0.0011111111111111152,0.012283950617283941
REV-E2_Hard_minus_TCNStat,sew_clif_ce,tcn_stat,openbmi,all,balanced_accuracy,54,0.005617283950617282,-0.0010493827160493812,0.012345679012345668
REV-E2_Hard_minus_TCNStat,sew_clif_ce,tcn_stat,openbmi,all,kappa,54,0.011234567901234558,-0.0023456790123456725,0.02407407407407407
REV-E2_Hard_minus_TCNStat,sew_clif_ce,tcn_stat,openbmi,all,macro_f1,54,0.005213773059590084,-0.0028936659418983294,0.013159145098311956
REV-E2_Hard_minus_TCNStat,sew_clif_ce,tcn_stat,openbmi,n25,accuracy,54,0.009999999999999993,0.003023148148148136,0.017222222222222215
REV-E2_Hard_minus_TCNStat,sew_clif_ce,tcn_stat,openbmi,n25,balanced_accuracy,54,0.010000000000000005,0.002962962962962969,0.01722222222222223
REV-E2_Hard_minus_TCNStat,sew_clif_ce,tcn_stat,openbmi,n25,kappa,54,0.020000000000000004,0.006172839506172854,0.034567901234567905
REV-E2_Hard_minus_TCNStat,sew_clif_ce,tcn_stat,openbmi,n25,macro_f1,54,0.01298316561311255,0.003819162016270929,0.02197905701078303
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,bci2a,all,accuracy,9,0.07355967078189303,0.058384773662551445,0.08963477366255149
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,bci2a,all,balanced_accuracy,9,0.07355967078189302,0.05864197530864194,0.08937757201646097
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,bci2a,all,kappa,9,0.098079561042524,0.07784207818930039,0.11917009602194788
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,bci2a,all,macro_f1,9,0.07146647840975984,0.05632212236102504,0.08754045583994169
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,bci2a,n25,accuracy,9,0.11664094650205763,0.09375,0.14081790123456792
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,bci2a,n25,balanced_accuracy,9,0.11664094650205763,0.09400720164609051,0.1404320987654321
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,bci2a,n25,kappa,9,0.1555212620027435,0.12568587105624138,0.18775720164609055
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,bci2a,n25,macro_f1,9,0.11213703638265339,0.08605716749332702,0.13815010103901354
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,bci2a,n50,accuracy,9,0.08474794238683125,0.07111625514403287,0.09863683127572019
